	G1_rep1	G1_rep2	G1_rep3	G2_rep1	G2_rep2	G2_rep3
gene_101	2058	3610	1606	656	217	428
gene_102	1383	442	344	325	64	267
gene_103	48	43	52	7	10	18
gene_104	2368	1980	1173	288	478	336
gene_105	3	1	0	1	1	4
gene_106	27	24	58	33	1	3
gene_107	605	526	373	97	126	169
gene_108	33	75	25	3	12	9
gene_109	25	77	34	10	0	17
gene_110	1711	1742	1685	520	378	455
gene_111	95	130	83	26	17	39
gene_112	109	100	96	15	17	26
gene_113	1405	1441	1944	334	413	342
gene_114	745	579	447	162	88	78
gene_115	330	45	0	13	109	0
gene_116	3	1	5	1	5	7
gene_117	1134	1101	1040	237	39	33
gene_118	21	2	6	2	2	0
gene_119	5	6	14	1	1	1
gene_120	50	139	46	6	4	37
gene_121	206	201	189	18	57	42
gene_122	1328	1181	1296	318	320	338
gene_123	10	1	9	0	0	1
gene_124	0	3	5	1	1	1
gene_125	416	487	493	121	134	102
gene_126	102	24	61	10	19	5
gene_127	281	294	240	76	56	49
gene_128	26	43	20	9	6	9
gene_129	10	6	2	0	0	4
gene_130	0	0	2	1	0	0
gene_131	32	73	41	19	19	1
gene_132	488	481	512	108	124	107
gene_133	149	347	335	32	111	94
gene_134	470	547	614	169	129	92
gene_135	81	74	70	16	18	11
gene_136	162	109	172	46	30	30
gene_137	0	0	3	2	0	0
gene_138	17	10	6	3	0	0
gene_139	57	88	39	6	11	15
gene_140	31	11	13	10	0	42
gene_141	54	29	17	11	7	8
gene_142	30	32	8	1	0	0
gene_143	210	196	99	32	57	45
gene_144	269	220	190	84	86	32
gene_145	10	32	0	1	1	3
gene_146	967	1397	942	333	306	555
gene_147	615	106	185	56	102	222
gene_148	35	34	52	7	7	3
gene_149	201	181	171	39	30	41
gene_150	9	32	2	0	7	15
gene_151	0	4	1	2	1	1
gene_152	14	11	9	47	41	38
gene_153	433	512	508	112	92	109
gene_154	7	9	19	0	1	1
gene_155	148	150	270	38	45	28
gene_156	418	462	450	52	109	154
gene_157	430	439	443	112	94	85
gene_158	708	537	708	176	172	234
gene_159	748	1621	1550	444	668	297
gene_160	329	162	253	66	59	20
gene_161	35	21	26	4	10	6
gene_162	776	330	429	201	50	156
gene_163	1	1	5	5	2	1
gene_164	48	71	43	46	28	24
gene_165	331	265	261	40	32	43
gene_166	5861	7410	7285	1415	1258	1271
gene_167	1	10	0	1	0	1
gene_168	29	0	14	4	0	0
gene_169	23	24	25	0	3	7
gene_170	26149	32711	26507	14860	8252	10403
gene_171	227	538	279	108	83	57
gene_172	25	5	26	2	6	7
gene_173	57	36	65	5	7	11
gene_174	182	162	216	84	60	17
gene_175	52	0	4	8	0	16
gene_176	255	198	312	82	56	56
gene_177	367	437	641	137	162	131
gene_178	57	21	2	0	0	5
gene_179	1	0	1	0	3	0
gene_180	21	12	34	11	3	15
gene_181	15	10	8	3	1	4
gene_182	427	471	463	93	116	98
gene_183	25	37	21	0	0	0
gene_184	39	11	43	6	11	6
gene_185	0	4	0	0	1	0
gene_186	252	245	165	56	47	54
gene_187	40	32	55	13	16	7
gene_188	35	34	36	8	7	8
gene_189	54	93	40	22	26	21
gene_190	17	37	24	11	10	2
gene_191	32	0	42	17	4	0
gene_192	9	7	10	2	1	3
gene_193	9	0	24	15	3	3
gene_194	350	917	482	141	68	159
gene_195	63	81	76	13	22	16
gene_196	4	6	1	1	0	0
gene_197	6	1	10	0	0	3
gene_198	3	4	1	17	5	2
gene_199	342	262	417	40	60	22
gene_200	6	6	6	5	1	4
gene_201	8	6	20	5	4	4
gene_202	1413	997	1230	281	369	292
gene_203	13	131	43	1	12	14
gene_204	239	131	109	34	62	35
gene_205	467	445	465	113	132	141
gene_206	5	0	0	1	2	0
gene_207	188	212	112	82	39	43
gene_208	40	166	24	29	20	13
gene_209	221	247	240	54	39	57
gene_210	8	12	12	3	4	2
gene_211	161	87	166	52	69	98
gene_212	55	60	78	11	11	10
gene_213	1	5	5	1	2	1
gene_214	5	6	21	4	0	2
gene_215	57	89	80	21	33	12
gene_216	67	76	75	27	19	19
gene_217	20	14	11	5	3	5
gene_218	1423	2392	3832	458	689	636
gene_219	396	1010	193	172	192	58
gene_220	469	619	690	139	132	147
gene_221	12	16	3	1	1	0
gene_222	340	335	319	82	85	87
gene_223	6	0	2	1	0	0
gene_224	23	36	69	2	1	3
gene_225	4593	993	3593	1945	2854	855
gene_226	4	24	4	5	12	2
gene_227	1	1	7	1	1	1
gene_228	158	30	20	4	10	6
gene_229	102	86	113	30	29	26
gene_230	163	187	180	37	28	20
gene_231	0	0	1	0	2	0
gene_232	187	100	198	66	45	32
gene_233	80	109	59	14	17	29
gene_234	545	706	546	188	174	100
gene_235	34	32	28	11	10	5
gene_236	18	0	1	0	1	2
gene_237	21	45	85	18	12	8
gene_238	221	319	240	76	36	33
gene_239	291	275	360	42	72	75
gene_240	32	28	31	6	4	0
gene_241	0	5	16	0	2	0
gene_242	9	11	2	4	4	3
gene_243	185	135	74	37	14	28
gene_244	0	4	8	3	1	1
gene_245	757	1094	971	180	152	196
gene_246	488	578	635	105	119	113
gene_247	104	69	89	27	9	33
gene_248	0	1	11	3	5	0
gene_249	142	22	37	45	21	20
gene_250	347	317	317	112	75	93
gene_251	2	7	26	0	0	0
gene_252	106	38	343	41	2	18
gene_253	11	8	8	0	2	7
gene_254	3	0	1	2	0	6
gene_255	49	27	49	4	4	12
gene_256	115	265	95	23	38	50
gene_257	181	149	198	25	21	7
gene_258	163	207	127	50	44	48
gene_259	19	24	41	2	8	12
gene_260	634	556	621	127	145	188
gene_261	9	38	4	0	16	0
gene_262	1	4	6	0	4	1
gene_263	746	1226	634	210	198	104
gene_264	1800	2203	2728	503	536	778
gene_265	486	587	361	116	164	52
gene_266	4	9	9	0	0	3
gene_267	23	4	22	7	1	0
gene_268	958	594	1476	422	231	263
gene_269	9	16	19	1	23	10
gene_270	1652	1438	3097	815	1060	372
gene_271	138	107	170	48	45	81
gene_272	3	1	18	0	48	1
gene_273	16	30	22	1	15	16
gene_274	217	114	172	49	62	53
gene_275	331	222	190	56	37	61
gene_276	230	461	222	33	115	62
gene_277	27	1	85	0	1	0
gene_278	75	85	62	18	9	7
gene_279	1	4	71	3	0	3
gene_280	283	294	304	83	17	39
gene_281	27	52	150	1	12	2
gene_282	17	25	18	3	4	8
gene_283	565	445	242	68	99	32
gene_284	22	6	10	1	3	4
gene_285	30	170	120	25	20	20
gene_286	155	145	109	49	33	5
gene_287	0	1	3	0	0	1
gene_288	517	171	359	92	93	63
gene_289	1	15	13	0	0	15
gene_290	3	4	6	1	0	0
gene_291	111	100	126	58	65	147
gene_292	307	689	368	101	215	180
gene_293	255	392	302	64	71	82
gene_294	2	0	1	0	0	0
gene_295	24	14	19	8	4	1
gene_296	62	83	87	15	9	11
gene_297	1933	2049	1404	373	436	458
gene_298	145	204	139	56	36	49
gene_299	1	0	14	0	0	1
gene_300	508	294	114	39	100	52
gene_301	0	3	4	21	0	3
gene_302	189	264	213	62	34	45
gene_303	0	55	0	65	9	19
gene_304	3	0	2	1	0	0
gene_305	39	36	74	13	22	14
gene_306	535	0	139	10	3	1
gene_307	20	13	47	14	12	7
gene_308	170	150	144	32	29	25
gene_309	3651	1349	1435	383	454	826
gene_310	46	26	13	8	7	7
gene_311	1	2	2	2	1	1
gene_312	18	12	12	2	1	5
gene_313	165	186	222	55	51	49
gene_314	64	114	105	22	8	11
gene_315	600	203	172	197	202	118
gene_316	73	220	118	16	35	49
gene_317	21	45	21	2	2	7
gene_318	0	2	0	0	0	0
gene_319	20	52	28	4	2	3
gene_320	294	209	343	62	63	91
gene_321	8	33	12	5	0	7
gene_322	866	715	762	94	109	245
gene_323	1	0	6	3	2	2
gene_324	2	1	13	2	4	0
gene_325	65	14	12	7	0	6
gene_326	6	48	2	2	0	0
gene_327	97	6	106	45	23	11
gene_328	0	31	7	6	0	0
gene_329	53	152	90	28	7	13
gene_330	201	268	216	62	57	50
gene_331	289	392	439	80	110	79
gene_332	125	86	337	54	12	170
gene_333	348	453	339	57	108	67
gene_334	0	1	10	2	0	0
gene_335	94	4	51	0	0	0
gene_336	2794	2844	2264	531	498	789
gene_337	10	0	3	4	0	0
gene_338	69	50	43	13	4	3
gene_339	27	31	62	6	9	6
gene_340	101	178	581	2	138	130
gene_341	4	1	0	0	0	0
gene_342	88	96	130	21	21	10
gene_343	76	35	121	12	11	2
gene_344	101	35	90	5	8	13
gene_345	1	26	33	10	6	23
gene_346	107	137	173	16	31	39
gene_347	94	107	103	20	28	28
gene_348	3	0	253	0	14	1
gene_349	304	293	204	55	64	83
gene_350	0	0	30	0	1	7
gene_351	202	122	80	43	14	35
gene_352	77	76	69	19	19	16
gene_353	19	10	37	10	14	3
gene_354	4	0	1	0	1	1
gene_355	37	40	35	14	19	8
gene_356	49	71	110	39	15	10
gene_357	99	20	30	9	5	25
gene_358	28	15	26	31	59	7
gene_359	218	271	279	60	76	127
gene_360	4	12	9	1	1	0
gene_361	6	0	39	0	0	10
gene_362	50	35	40	10	10	14
gene_363	15	54	44	20	12	20
gene_364	902	1089	1262	542	493	215
gene_365	72	83	59	25	24	27
gene_366	5	19	0	0	5	0
gene_367	1321	1448	1348	379	514	313
gene_368	315	254	409	71	108	104
gene_369	96	100	108	27	36	32
gene_370	91	176	142	56	34	42
gene_371	225	230	123	24	58	45
gene_372	156	161	124	30	12	43
gene_373	2074	2133	1550	609	513	379
gene_374	92	104	66	24	16	17
gene_375	7	1	1	0	8	7
gene_376	192	129	143	34	46	41
gene_377	210	40	132	72	50	47
gene_378	475	418	413	195	105	152
gene_379	1	1	1	0	0	0
gene_380	89	125	111	41	19	45
gene_381	49	39	61	9	11	20
gene_382	389	522	455	115	110	104
gene_383	0	0	13	2	7	2
gene_384	51	38	39	11	11	8
gene_385	189	121	84	23	42	34
gene_386	72	105	64	24	21	34
gene_387	19	1	2	0	0	0
gene_388	10	4	17	6	0	7
gene_389	26	33	3	18	1	1
gene_390	3	0	4	3	2	0
gene_391	215	174	247	69	25	71
gene_392	199	180	215	49	59	49
gene_393	891	992	856	257	302	288
gene_394	172	149	133	44	39	40
gene_395	23	27	29	9	9	8
gene_396	15	22	29	3	7	2
gene_397	76	101	110	27	19	30
gene_398	765	830	634	239	232	189
gene_399	143	53	199	34	51	42
gene_400	14	15	14	0	2	1
gene_401	6	1	0	3	0	1
gene_402	236	336	323	62	87	70
gene_403	7	1	3	2	2	1
gene_404	47	22	6	0	0	17
gene_405	6	2	12	4	1	2
gene_406	1	1	0	0	0	0
gene_407	9	10	25	6	5	2
gene_408	25	1	15	3	2	1
gene_409	20	131	35	7	3	8
gene_410	32	344	124	37	28	35
gene_411	3	1	0	1	0	3
gene_412	2860	1935	4807	487	939	375
gene_413	4	4	4	1	0	0
gene_414	608	602	614	141	181	142
gene_415	102	129	126	33	21	20
gene_416	413	464	427	104	129	99
gene_417	160	181	169	47	40	25
gene_418	85	69	67	27	23	17
gene_419	69	33	60	9	6	6
gene_420	192	167	143	33	51	57
gene_421	0	1	6	0	0	0
gene_422	1164	884	604	229	185	285
gene_423	29	33	48	9	13	15
gene_424	33	7	17	19	9	10
gene_425	16	2	3	1	1	0
gene_426	101	63	117	19	17	19
gene_427	0	0	0	2	0	5
gene_428	25	15	6	9	8	0
gene_429	0	2	2	0	0	1
gene_430	310	456	397	80	112	82
gene_431	37	134	53	15	24	32
gene_432	94	84	172	15	31	47
gene_433	14	0	3	28	6	1
gene_434	0	1	1	0	0	0
gene_435	165	192	184	43	49	52
gene_436	48	102	55	11	6	10
gene_437	44	41	53	17	6	9
gene_438	2	1	0	0	1	0
gene_439	33	0	24	10	2	3
gene_440	44	69	10	2	13	4
gene_441	826	1033	683	180	251	171
gene_442	13	0	6	4	2	3
gene_443	1448	1597	936	456	426	349
gene_444	2	8	2	5	0	8
gene_445	6	1	3	4	0	0
gene_446	4	1	0	0	0	2
gene_447	0	49	2	0	2	12
gene_448	44	29	52	3	6	22
gene_449	505	301	807	100	132	176
gene_450	0	0	4	1	3	1
gene_451	5	3	13	6	0	5
gene_452	0	46	1	1	11	1
gene_453	185	246	125	19	12	50
gene_454	2	3	18	1	3	1
gene_455	54	101	60	7	10	4
gene_456	206	180	88	34	30	29
gene_457	29	31	3	0	3	8
gene_458	50	41	56	12	23	14
gene_459	7	25	22	3	7	1
gene_460	21	18	21	5	5	5
gene_461	11	24	49	12	8	12
gene_462	21	17	24	4	4	2
gene_463	5271	5639	4834	1002	1160	1126
gene_464	433	252	536	97	79	95
gene_465	192	170	320	72	62	101
gene_466	28	0	26	0	2	6
gene_467	329	255	301	54	45	58
gene_468	6	8	12	2	3	4
gene_469	1	1	0	1	1	1
gene_470	192	138	363	244	110	76
gene_471	0	23	0	1	6	4
gene_472	6	1	3	0	2	0
gene_473	97	99	79	16	10	13
gene_474	158	142	134	26	36	31
gene_475	1	0	2	0	1	0
gene_476	259	182	668	97	9	393
gene_477	57	25	87	19	17	14
gene_478	829	734	787	164	214	227
gene_479	14	10	38	16	4	11
gene_480	12	0	2	0	0	1
gene_481	220	229	241	33	48	62
gene_482	17	29	13	2	10	10
gene_483	782	845	784	205	229	190
gene_484	1074	893	96	194	169	182
gene_485	2379	1391	1725	630	397	284
gene_486	39	74	12	19	25	14
gene_487	0	114	0	14	0	0
gene_488	272	189	110	32	57	36
gene_489	1	5	7	2	1	0
gene_490	4	2	0	0	0	0
gene_491	1	0	33	0	0	2
gene_492	978	791	426	174	39	134
gene_493	815	832	704	183	202	182
gene_494	931	1172	615	88	615	159
gene_495	1425	251	349	113	29	46
gene_496	6	25	19	1	3	2
gene_497	1	2	5	0	0	0
gene_498	37	26	30	7	12	9
gene_499	71	97	60	20	21	30
gene_500	10	13	15	1	0	10
gene_501	1	3	0	1	0	18
gene_502	384	255	313	104	133	119
gene_503	2	13	19	0	0	0
gene_504	5	0	0	2	4	0
gene_505	220	474	209	167	103	128
gene_506	43	84	62	28	23	23
gene_507	141	130	109	23	32	37
gene_508	8	14	24	9	4	2
gene_509	206	615	830	81	94	65
gene_510	53	101	163	30	31	44
gene_511	179	73	154	9	17	28
gene_512	0	18	19	2	0	0
gene_513	776	1394	915	234	233	316
gene_514	28	9	11	4	5	3
gene_515	15	139	68	50	45	2
gene_516	0	42	2	10	0	4
gene_517	65	42	30	5	9	12
gene_518	6	1	1	1	1	1
gene_519	782	300	484	185	154	126
gene_520	59	49	47	11	3	34
gene_521	45	50	30	15	8	16
gene_522	126	43	42	15	25	39
gene_523	454	824	688	127	119	147
gene_524	250	372	428	101	92	93
gene_525	77	78	81	23	24	21
gene_526	3032	1791	1780	282	432	657
gene_527	229	89	215	60	45	63
gene_528	437	1642	835	172	356	168
gene_529	87	90	93	15	31	27
gene_530	1	5	159	0	21	4
gene_531	2	2	0	0	1	1
gene_532	15	0	0	0	2	0
gene_533	325	432	14	87	0	52
gene_534	57	44	33	7	20	21
gene_535	11	19	17	1	3	1
gene_536	1	7	0	0	1	0
gene_537	0	0	4	1	1	12
gene_538	196	162	183	51	65	58
gene_539	18	2	3	4	4	7
gene_540	1	6	0	0	3	0
gene_541	0	3	10	0	0	4
gene_542	638	627	462	139	159	161
gene_543	35	57	36	8	4	4
gene_544	1	3	4	1	2	1
gene_545	3	6	0	9	1	10
gene_546	0	0	3	0	1	1
gene_547	34	38	26	9	8	12
gene_548	255	514	572	40	34	39
gene_549	908	1310	875	228	366	193
gene_550	428	371	379	122	107	146
gene_551	609	525	610	160	192	122
gene_552	325	508	295	63	114	169
gene_553	2	3	0	1	10	2
gene_554	85	18	21	6	1	2
gene_555	1153	786	575	45	66	172
gene_556	255	233	187	28	43	53
gene_557	1	9	1	1	2	0
gene_558	14031	12855	9980	3276	4491	2267
gene_559	493	279	593	132	162	133
gene_560	428	585	485	127	97	191
gene_561	3	3	4	1	0	0
gene_562	215	228	229	60	75	51
gene_563	338	244	275	55	65	86
gene_564	34	53	23	28	6	18
gene_565	408	590	327	233	33	60
gene_566	58	69	105	23	48	29
gene_567	255	270	232	75	51	64
gene_568	2	75	24	0	18	26
gene_569	35	74	28	11	10	6
gene_570	0	3	10	2	0	0
gene_571	10	26	122	8	15	42
gene_572	30	5	57	6	17	4
gene_573	3196	3155	3175	612	907	1222
gene_574	81	79	171	0	19	14
gene_575	10	14	13	4	6	2
gene_576	9	13	1	1	0	0
gene_577	9	1	9	0	5	0
gene_578	6	8	7	0	0	0
gene_579	97	97	99	30	19	30
gene_580	3676	3188	2823	943	629	1291
gene_581	70	54	23	2	17	15
gene_582	96	122	90	18	34	36
gene_583	296	296	238	76	67	74
gene_584	1773	1208	2146	278	422	350
gene_585	52	60	44	21	8	10
gene_586	1563	1657	1613	401	408	451
gene_587	0	0	2	0	0	0
gene_588	58	125	41	20	18	32
gene_589	168	211	277	60	54	27
gene_590	121	153	245	9	40	2
gene_591	2924	3443	3277	768	841	617
gene_592	100	382	177	76	38	148
gene_593	361	442	137	220	98	89
gene_594	233	186	169	44	44	39
gene_595	27	159	146	6	60	19
gene_596	0	2	32	3	2	0
gene_597	898	404	644	226	92	90
gene_598	166	185	115	45	47	49
gene_599	2	3	4	0	0	0
gene_600	3	22	19	0	0	0
gene_601	1	1	2	4	0	4
gene_602	416	260	388	109	106	64
gene_603	64	42	62	15	18	19
gene_604	32	9	41	19	14	25
gene_605	152	82	163	30	15	22
gene_606	1	0	0	1	0	2
gene_607	25	11	30	29	8	0
gene_608	1546	931	1495	327	303	533
gene_609	112	168	117	69	69	64
gene_610	150	162	176	36	40	35
gene_611	214	182	252	36	34	61
gene_612	2	5	3	2	1	2
gene_613	68	33	56	11	8	14
gene_614	13	16	5	8	19	56
gene_615	21	13	0	0	1	2
gene_616	28	5	11	11	1	0
gene_617	251	196	253	56	61	81
gene_618	345	343	270	97	61	65
gene_619	81	48	47	23	10	1
gene_620	391	5836	199	498	534	637
gene_621	332	551	600	143	146	160
gene_622	219	177	110	53	24	76
gene_623	12	16	20	0	1	3
gene_624	11	0	13	0	1	9
gene_625	787	703	663	169	179	173
gene_626	1	3	3	0	0	1
gene_627	74	70	78	32	15	17
gene_628	45	20	99	2	10	48
gene_629	56	158	88	57	19	49
gene_630	65	118	302	79	81	34
gene_631	1	1	1	0	0	1
gene_632	3	4	2	0	4	1
gene_633	135	144	126	33	36	44
gene_634	9	69	18	12	8	4
gene_635	70	89	87	30	6	9
gene_636	17	20	4	0	3	1
gene_637	255	110	235	37	42	34
gene_638	391	376	324	99	103	88
gene_639	0	0	2	0	1	1
gene_640	6	8	6	2	2	4
gene_641	332	410	337	79	101	132
gene_642	349	399	257	69	96	95
gene_643	7	12	3	5	2	0
gene_644	78	113	182	24	81	72
gene_645	56	32	82	59	17	38
gene_646	2454	1646	2165	406	582	597
gene_647	63	91	52	6	6	25
gene_648	31	32	62	4	14	27
gene_649	16	26	3	5	3	1
gene_650	476	415	434	91	98	119
gene_651	636	629	528	164	120	178
gene_652	22	72	44	18	6	17
gene_653	0	0	13	1	0	0
gene_654	11	1	27	0	0	0
gene_655	158	158	173	10	58	40
gene_656	195	211	230	36	49	41
gene_657	25	1	2	0	0	1
gene_658	135	39	4	31	13	7
gene_659	292	292	223	73	84	66
gene_660	394	336	331	102	198	183
gene_661	112	99	144	39	41	33
gene_662	14	3	4	1	0	9
gene_663	3	0	0	0	0	0
gene_664	37	41	40	11	15	12
gene_665	0	0	6	1	1	0
gene_666	292	248	282	85	87	64
gene_667	472	367	458	71	110	91
gene_668	60	47	88	5	11	10
gene_669	2235	1578	2042	297	429	453
gene_670	181	275	185	46	48	78
gene_671	5	2	2	3	1	1
gene_672	117	103	108	35	32	21
gene_673	96	139	121	41	31	28
gene_674	268	242	794	51	36	39
gene_675	29	173	80	33	42	19
gene_676	7	18	13	9	7	3
gene_677	41	105	128	19	10	8
gene_678	576	457	328	127	106	168
gene_679	22	56	60	6	21	16
gene_680	139	293	219	65	60	41
gene_681	15	43	36	6	3	6
gene_682	34	32	70	11	18	14
gene_683	162	505	204	39	52	43
gene_684	11	4	5	3	0	0
gene_685	226	475	186	80	133	80
gene_686	0	7	6	1	2	0
gene_687	308	517	562	70	266	165
gene_688	24	6	28	5	8	0
gene_689	1037	1110	1628	253	300	304
gene_690	1122	3456	3186	431	504	470
gene_691	80	71	73	19	10	25
gene_692	445	562	412	153	176	163
gene_693	17	109	16	12	29	18
gene_694	240	277	246	98	80	71
gene_695	286	500	300	215	145	201
gene_696	40	10	35	2	32	0
gene_697	1022	1183	725	288	191	285
gene_698	13	27	6	5	0	3
gene_699	39	108	21	9	19	3
gene_700	272	293	251	80	80	66
gene_701	5	0	0	0	0	0
gene_702	8	21	25	4	5	1
gene_703	368	615	345	146	84	95
gene_704	8	49	66	5	8	4
gene_705	3	34	0	1	1	6
gene_706	782	984	1011	209	255	222
gene_707	7	0	0	0	14	1
gene_708	236	172	213	45	48	43
gene_709	2091	1547	1216	450	391	338
gene_710	78	135	17	13	12	7
gene_711	6	0	4	2	0	0
gene_712	78	33	25	60	58	10
gene_713	70	73	110	24	16	25
gene_714	14	15	48	8	8	9
gene_715	280	222	785	100	96	67
gene_716	27	47	35	1	0	2
gene_717	443	466	380	76	137	229
gene_718	4	17	0	0	0	0
gene_719	143	27	3	5	0	12
gene_720	116	109	94	25	30	27
gene_721	65	439	325	32	47	41
gene_722	1206	5936	2649	1417	939	4284
gene_723	117	111	58	43	9	13
gene_724	0	5	6	2	2	13
gene_725	455	388	385	87	98	80
gene_726	18	22	0	2	0	5
gene_727	28	41	6	11	6	2
gene_728	231	137	171	41	62	67
gene_729	4060	13672	11290	2352	1618	5661
gene_730	261	146	124	70	106	50
gene_731	5	1	0	1	1	0
gene_732	79	41	59	26	9	4
gene_733	34	51	45	13	8	13
gene_734	6	19	5	22	0	1
gene_735	2	0	1	5	4	6
gene_736	120	186	73	39	18	23
gene_737	311	292	278	71	92	68
gene_738	3086	3091	3453	824	688	873
gene_739	234	255	239	53	56	67
gene_740	306	94	144	29	75	59
gene_741	32	113	82	11	7	33
gene_742	9697	28865	14308	3102	3744	2569
gene_743	35	69	55	17	20	9
gene_744	264	305	363	59	70	41
gene_745	3	13	43	6	2	0
gene_746	2432	2639	2443	525	543	559
gene_747	0	0	1	11	0	0
gene_748	4	2	2	0	0	0
gene_749	64	66	89	14	14	11
gene_750	84	73	28	12	6	12
gene_751	119	122	97	28	43	13
gene_752	7528	10581	8340	1559	2574	1707
gene_753	144	175	186	19	27	17
gene_754	94	97	205	35	29	27
gene_755	327	241	389	33	106	124
gene_756	75	109	195	11	30	19
gene_757	44	61	33	6	12	12
gene_758	192	253	198	37	50	46
gene_759	17	0	0	1	0	3
gene_760	4454	2976	3818	873	502	1049
gene_761	186	90	128	13	25	31
gene_762	31	44	17	10	33	15
gene_763	124	40	66	12	16	17
gene_764	4	3	1	2	0	0
gene_765	396	523	395	72	55	92
gene_766	275	129	219	53	57	39
gene_767	8381	7774	7771	2512	2018	1740
gene_768	13	14	13	2	3	2
gene_769	82	91	87	23	23	21
gene_770	309	311	302	87	72	75
gene_771	0	7	5	0	0	2
gene_772	126	218	251	55	67	80
gene_773	153	314	251	43	67	47
gene_774	8	21	2	0	0	1
gene_775	1290	1968	1867	471	454	533
gene_776	121	117	149	21	79	93
gene_777	1597	1912	1105	312	323	251
gene_778	40	5	12	52	0	1
gene_779	9	2	11	10	9	0
gene_780	32	2	0	2	0	2
gene_781	63	3519	1886	1221	573	900
gene_782	16	1	1	0	17	7
gene_783	1564	1599	1680	430	422	411
gene_784	1169	482	398	157	182	131
gene_785	186	56	124	72	28	40
gene_786	5	0	31	0	0	1
gene_787	67	118	41	25	18	18
gene_788	2	12	6	0	0	0
gene_789	39	66	49	4	12	10
gene_790	612	447	604	115	133	132
gene_791	516	163	725	92	106	122
gene_792	524	419	242	103	22	114
gene_793	37	31	74	14	5	7
gene_794	45	86	105	2	30	12
gene_795	34	36	48	10	7	10
gene_796	9	13	18	3	3	0
gene_797	984	1816	2958	511	772	292
gene_798	525	481	474	114	104	100
gene_799	0	0	2	1	2	0
gene_800	634	303	378	121	204	134
gene_801	99	167	189	51	32	33
gene_802	2768	2886	1498	213	124	160
gene_803	582	332	454	167	118	98
gene_804	197	154	270	48	22	20
gene_805	27	9	0	0	0	11
gene_806	257	538	254	48	15	126
